GLON GLAT VLSR a b pa d_VLSR p_far cos_pa sin_pa aa bb f_avg Seq in_grs
11.329 -0.534 35.6 0.0031 0.0016 213 0.9561 -0.5 -0.838670567945424 -0.5446390350150271 9.730933641975309e-06 2.708767361111111e-06 0 2545 0
11.519 -0.321 48.3 0.0045 0.0038 164 1.9215 -0.5 -0.9612616959383189 0.2756373558169992 2.0639353780864196e-05 1.4482253086419753e-05 1 2556 0
11.533 0.267 30.0 0.0047 0.0023 236 1.9215 -0.5 -0.5591929034707473 -0.8290375725550414 2.1998705632716055e-05 5.379822530864197e-06 1 2560 0
11.55 0.263 30.0 0.0035 0.0024 255 1.9215 -0.5 -0.25881904510252063 -0.9659258262890683 1.223056327160494e-05 5.766668595679011e-06 1 2561 0
11.599 0.258 29.6 0.003 0.0017 92 0.6382 -0.5 -0.034899496702500955 0.9993908270190958 8.867160493827162e-06 2.8382889660493833e-06 0 2564 0
11.969 -0.125 43.2 0.0038 0.003 189 1.9215 0.5 -0.9876883405951378 -0.15643446504023076 1.4630624999999999e-05 8.966697530864195e-06 1 2599 0
11.99 -0.13 43.2 0.003 0.0021 205 1.9215 0.5 -0.90630778703665 -0.4226182617406993 9.00833526234568e-06 4.363456790123457e-06 1 2600 0
11.984 -0.348 47.8 0.0029 0.002 141 1.9215 -0.5 -0.7771459614569709 0.6293203910498374 8.580017361111112e-06 3.928103780864198e-06 1 2601 0
12.03 -0.032 111.3 0.0041 0.0029 198 1.9215 0.5 -0.9510565162951536 -0.3090169943749473 1.7130401234567903e-05 8.7025e-06 1 2607 0
12.216 0.138 39.7 0.006 0.0035 180 1.1939 -0.5 -1.0 1.2246467991473532e-16 3.603334104938272e-05 1.2406049382716049e-05 0 2626 0
12.277 -0.417 46.8 0.0035 0.0024 131 1.9215 -0.5 -0.6560590289905072 0.7547095802227721 1.2056327160493826e-05 5.5225e-06 1 2638 0
12.368 0.508 18.6 0.0046 0.0024 174 1.9215 -0.5 -0.9945218953682734 0.1045284632676533 2.0791066743827158e-05 5.975308641975311e-06 1 2647 0
12.384 0.521 18.5 0.003 0.002 264 1.9215 -0.5 -0.10452846326765423 -0.9945218953682733 8.958381558641976e-06 4.134444444444445e-06 1 2651 0
12.395 -0.148 32.5 0.0031 0.0021 136 1.9215 -0.5 -0.719339800338651 0.6946583704589975 9.6531037808642e-06 4.545187114197531e-06 1 2652 0
12.403 -0.469 46.2 0.0042 0.003 99 1.825 -0.5 -0.1564344650402308 0.9876883405951378 1.740743827160494e-05 9.01667438271605e-06 0 2653 0
12.417 0.505 17.4 0.0042 0.0036 208 2.4514 -0.5 -0.8829475928589269 -0.46947156278589086 1.7500277777777778e-05 1.2661736111111112e-05 0 2654 0
12.416 -0.134 33.4 0.0087 0.0047 210 1.9215 -0.5 -0.8660254037844388 -0.4999999999999998 7.641673611111111e-05 2.170006944444444e-05 1 2655 0
12.467 -0.146 34.4 0.0054 0.004 218 0.9325 -0.5 -0.788010753606722 -0.6156614753256582 2.8696853780864198e-05 1.593340277777778e-05 0 2664 0
12.496 -0.22 35.6 0.0038 0.0025 106 1.3705 -0.5 -0.27563735581699905 0.9612616959383189 1.4303103780864199e-05 6.502499999999998e-06 0 2670 0
12.498 -0.181 35.5 0.0036 0.0021 92 0.8713 -0.5 -0.034899496702500955 0.9993908270190958 1.3010048225308642e-05 4.334492669753086e-06 0 2672 0
12.553 -0.345 35.7 0.0039 0.0026 268 0.8524 -0.5 -0.034899496702500754 -0.9993908270190958 1.5231674382716051e-05 6.6306250000000006e-06 0 2679 0
12.619 0.514 19.1 0.0044 0.0015 228 0.5039 -0.5 -0.6691306063588585 -0.743144825477394 1.9347779706790123e-05 2.151111111111111e-06 0 2693 0
12.673 -0.099 55.0 0.0033 0.0017 204 1.4812 -0.5 -0.9135454576426009 -0.4067366430758002 1.1000277777777778e-05 2.7500694444444444e-06 0 2702 0
12.677 -0.178 57.6 0.0069 0.0056 227 2.4231 -0.5 -0.6819983600624986 -0.7313537016191705 4.7055788966049375e-05 3.159376736111112e-05 0 2703 0
