GLON GLAT VLSR a b pa d_VLSR p_far cos_pa sin_pa aa bb f_avg MSXDC m_MSXDC
18.8220 -0.2850 65.8000 0.1175 0.0325 164 5.5000 -0.5 -0.9612616959383189 0.2756373558169992 0.013806249999999999 0.0010562500000000001 0 G018.82-00.28 0
18.9970 -0.3020 64.4000 0.0817 0.0567 219 5.1000 -0.5 -0.7771459614569711 -0.6293203910498373 0.006669444444444444 0.0032111111111111108 0 G018.99-00.30 0
19.0550 0.2770 5.2000 0.1217 0.0725 218 1.3000 -0.5 -0.788010753606722 -0.6156614753256582 0.014802777777777776 0.00525625 0 G019.05+00.27 0
19.2020 0.6860 6.6000 0.0133 0.0117 209 0.9000 -0.5 -0.8746197071393959 -0.48480962024633695 0.0001777777777777778 0.00013611111111111107 0 G019.20+00.68 0
19.2440 0.0320 26.1000 0.0225 0.0167 216 4.3000 -0.5 -0.8090169943749475 -0.587785252292473 0.0005062500000000001 0.0002777777777777778 0 G019.24+00.03 0
19.2740 -0.3960 52.2000 0.0317 0.0167 122 6.4000 -0.5 -0.5299192642332048 0.8480480961564261 0.0010027777777777776 0.0002777777777777778 0 G019.27-00.39 0
19.3020 0.5980 20.7000 0.0467 0.0308 247 1.7000 -0.5 -0.3907311284892738 -0.9205048534524403 0.002177777777777777 0.0009506944444444445 0 G019.30+00.59 0
19.3410 -0.0420 26.6000 0.0133 0.0108 150 4.7000 -0.5 -0.8660254037844385 0.5000000000000003 0.0001777777777777778 0.00011736111111111112 0 G019.34-00.04 0
19.3920 -0.0120 26.9000 0.0383 0.0225 127 4.4000 -0.5 -0.601815023152048 0.798635510047293 0.0014694444444444442 0.0005062500000000001 0 G019.39-00.01 0
19.4220 -0.0870 26.9000 0.0483 0.0358 226 5.1000 -0.5 -0.6946583704589973 -0.7193398003386512 0.002336111111111111 0.0012840277777777774 0 G019.42-00.08 0
19.7360 -0.6610 23.5000 0.0350 0.0242 264 2.7000 -0.5 -0.10452846326765423 -0.9945218953682733 0.0012250000000000002 0.0005840277777777777 0 G019.73-00.66 0
19.8960 -0.6100 44.9000 0.0633 0.0467 173 5.8000 -0.5 -0.992546151641322 0.12186934340514755 0.00401111111111111 0.002177777777777777 0 G019.89-00.61 0
19.9180 -0.2010 66.2000 0.0300 0.0183 153 5.3000 -0.5 -0.8910065241883678 0.45399049973954686 0.0009 0.00033611111111111114 0 G019.91-00.20 0
