GLON GLAT VLSR a b pa d_VLSR p_far cos_pa sin_pa aa bb GName
18.6571 -0.0563 44.1000 0.0115 0.0115 0 4.0500 0.5 1.0 0.0 0.00013202839846373457 0.00013202839846373457 G018.657-00.057
18.6699 1.9650 -15.7000 0.0378 0.0378 0 4.0500 0.5 1.0 0.0 0.001430394422530864 0.001430394422530864 G018.669+01.965
18.7412 0.2507 19.1000 0.0095 0.0095 0 4.0500 0.5 1.0 0.0 8.931037517361113e-05 8.931037517361113e-05 G018.741+00.250
18.8320 -0.3000 46.4000 0.0059 0.0059 0 4.0500 0.5 1.0 0.0 3.484278549382716e-05 3.484278549382716e-05 G018.832-00.300
18.8810 -0.4930 65.5000 0.0153 0.0153 0 4.0500 -0.5 1.0 0.0 0.0002331559336419753 0.0002331559336419753 G018.881-00.493
18.9780 0.0308 52.3000 0.0383 0.0383 0 4.0500 -0.5 1.0 0.0 0.0014649543611882712 0.0014649543611882712 G018.978+00.030
19.0308 0.4238 25.4000 0.0108 0.0108 0 4.0500 0.5 1.0 0.0 0.00011673211818074846 0.00011673211818074846 G019.030+00.423
19.0451 -0.5877 68.2000 0.0168 0.0168 0 4.0500 -0.5 1.0 0.0 0.0002823846852044753 0.0002823846852044753 G019.045-00.588
19.0643 -0.2816 -15.7000 0.0111 0.0111 0 4.0500 0.5 1.0 0.0 0.00012279933443074846 0.00012279933443074846 G019.064-00.282
19.4809 0.1560 19.8000 0.0073 0.0073 0 4.0500 0.5 1.0 0.0 5.2880570009452164e-05 5.2880570009452164e-05 G019.480+00.155
19.4896 0.1353 19.8000 0.0073 0.0073 0 4.0500 -0.5 1.0 0.0 5.2880570009452164e-05 5.2880570009452164e-05 G019.489+00.135
19.5048 -0.1928 37.8000 0.0072 0.0072 0 4.0500 0.5 1.0 0.0 5.144415854340278e-05 5.144415854340278e-05 G019.504-00.193
19.5541 -0.2476 41.0000 0.0266 0.0266 0 4.0500 0.5 1.0 0.0 0.0007075526111304013 0.0007075526111304013 G019.554-00.248
19.6049 -0.9049 38.7000 0.0083 0.0083 0 4.0500 0.5 1.0 0.0 6.944444444444444e-05 6.944444444444444e-05 G019.604-00.905
19.6093 -0.2384 -15.7000 0.0120 0.0120 0 4.0500 0.5 1.0 0.0 0.00014299941088908178 0.00014299941088908178 G019.609-00.239
19.6291 -0.0941 58.6000 0.0455 0.0455 0 4.0500 0.5 1.0 0.0 0.0020693148278549383 0.0020693148278549383 G019.629-00.095
19.6665 -0.3083 44.3000 0.0099 0.0099 0 4.0500 0.5 1.0 0.0 9.84615188271605e-05 9.84615188271605e-05 G019.666-00.309
19.6758 -0.2254 -15.7000 0.0294 0.0294 0 4.0500 0.5 1.0 0.0 0.0008650379662229939 0.0008650379662229939 G019.675-00.226
19.6771 -0.1333 55.0000 0.0083 0.0083 0 4.0500 0.5 1.0 0.0 6.944444444444444e-05 6.944444444444444e-05 G019.677-00.134
19.7164 -0.2607 40.1000 0.0082 0.0082 0 4.0500 0.5 1.0 0.0 6.691580837673611e-05 6.691580837673611e-05 G019.716-00.261
19.7280 -0.1130 57.3000 0.0059 0.0059 0 4.0500 0.5 1.0 0.0 3.484278549382716e-05 3.484278549382716e-05 G019.728-00.113
19.7410 0.2800 16.3000 0.0059 0.0059 0 4.0500 0.5 1.0 0.0 3.484278549382716e-05 3.484278549382716e-05 G019.741+00.280
19.7807 0.2866 -9.3000 0.0154 0.0154 0 4.0500 0.5 1.0 0.0 0.00023828638983410495 0.00023828638983410495 G019.780+00.286
20.0706 -0.1434 42.2000 0.0046 0.0046 0 4.0500 0.5 1.0 0.0 2.074334373630401e-05 2.074334373630401e-05 G020.070-00.144
20.0771 -0.1405 42.2000 0.0046 0.0046 0 4.0500 0.5 1.0 0.0 2.074334373630401e-05 2.074334373630401e-05 G020.077-00.141
20.0837 -0.1341 42.2000 0.0046 0.0046 0 4.0500 0.5 1.0 0.0 2.074334373630401e-05 2.074334373630401e-05 G020.083-00.135
20.0980 -0.1230 43.4000 0.0059 0.0059 0 4.0500 0.5 1.0 0.0 3.484278549382716e-05 3.484278549382716e-05 G020.098-00.123
20.2270 0.1100 22.1000 0.0099 0.0099 0 4.0500 0.5 1.0 0.0 9.743801197704479e-05 9.743801197704479e-05 G020.227+00.110
20.3630 -0.0140 54.1000 0.0059 0.0059 0 4.0500 0.5 1.0 0.0 3.484278549382716e-05 3.484278549382716e-05 G020.363-00.014
20.4575 0.0215 73.8000 0.0146 0.0146 0 4.0500 0.5 1.0 0.0 0.00021236180418595678 0.00021236180418595678 G020.457+00.021
20.4817 0.1688 24.1000 0.0215 0.0215 0 4.0500 0.5 1.0 0.0 0.0004634452160493827 0.0004634452160493827 G020.481+00.168
20.5420 -0.1788 48.6000 0.0252 0.0252 0 4.0500 -0.5 1.0 0.0 0.000635516089197531 0.000635516089197531 G020.542-00.179
20.7289 -0.1041 -15.7000 0.0553 0.0553 0 4.0500 0.5 1.0 0.0 0.003052777364891976 0.003052777364891976 G020.728-00.105
20.9669 -0.4545 38.5000 0.1282 0.1282 0 4.0500 0.5 1.0 0.0 0.016427406489197532 0.016427406489197532 G020.966-00.455
20.9880 0.0920 18.6000 0.0182 0.0182 0 4.0500 0.5 1.0 0.0 0.0003304619019290123 0.0003304619019290123 G020.988+00.092
21.0040 -0.0560 28.8000 0.0059 0.0059 0 4.0500 0.5 1.0 0.0 3.484278549382716e-05 3.484278549382716e-05 G021.004-00.056
21.3860 -0.2540 91.2000 0.0080 0.0080 0 4.0500 -0.5 1.0 0.0 6.400200001562501e-05 6.400200001562501e-05 G021.386-00.255
21.4265 -0.5457 70.2000 0.0083 0.0083 0 4.0500 -0.5 1.0 0.0 6.944444444444444e-05 6.944444444444444e-05 G021.426-00.546
21.6031 -0.1687 -4.7000 0.0044 0.0044 0 4.0500 0.5 1.0 0.0 1.959697632889661e-05 1.959697632889661e-05 G021.603-00.169
21.7460 -0.0340 20.0000 0.0119 0.0119 0 4.0500 0.5 1.0 0.0 0.00014073637102797066 0.00014073637102797066 G021.746-00.035
21.8729 -0.0433 17.1000 0.0140 0.0140 0 4.0500 0.5 1.0 0.0 0.00019467613196373458 0.00019467613196373458 G021.872-00.044
21.8733 0.0059 26.9000 0.0083 0.0083 0 4.0500 0.5 1.0 0.0 6.944444444444444e-05 6.944444444444444e-05 G021.873+00.005
21.8843 -0.3174 79.5000 0.0488 0.0488 0 4.0500 0.5 1.0 0.0 0.0023820907111111117 0.0023820907111111117 G021.884-00.318
22.3571 0.0644 82.5000 0.0083 0.0083 0 4.0500 -0.5 1.0 0.0 6.944467592611884e-05 6.944467592611884e-05 G022.357+00.064
22.7240 -0.0100 38.9000 0.0059 0.0059 0 4.0500 0.5 1.0 0.0 3.484278549382716e-05 3.484278549382716e-05 G022.724-00.010
22.7616 -0.4919 74.8000 0.0219 0.0219 0 4.0500 -0.5 1.0 0.0 0.00048105283350694444 0.00048105283350694444 G022.761-00.492
22.7800 -0.4005 70.0000 0.0138 0.0138 0 4.0500 0.5 1.0 0.0 0.00019137456042148918 0.00019137456042148918 G022.780-00.401
22.8795 0.6452 31.0000 0.0587 0.0587 0 4.0500 -0.5 1.0 0.0 0.003451138207484568 0.003451138207484568 G022.879+00.645
22.9527 -0.3170 70.9000 0.0060 0.0060 0 4.0500 -0.5 1.0 0.0 3.5783327006944444e-05 3.5783327006944444e-05 G022.952-00.317
22.9886 -0.3592 74.1000 0.0211 0.0211 0 4.0500 -0.5 1.0 0.0 0.0004440444027970679 0.0004440444027970679 G022.988-00.360
23.0971 0.5275 29.5000 0.0548 0.0548 0 4.0500 -0.5 1.0 0.0 0.003000696235262346 0.003000696235262346 G023.097+00.527
23.1959 -0.0008 90.7000 0.0083 0.0083 0 4.0500 0.5 1.0 0.0 6.944444444444444e-05 6.944444444444444e-05 G023.195-00.001
23.2400 -0.2400 76.3000 0.0158 0.0158 0 4.0500 -0.5 1.0 0.0 0.0002488330975308642 0.0002488330975308642 G023.240-00.240
23.2643 0.0776 78.2000 0.0083 0.0083 0 4.0500 0.5 1.0 0.0 6.944444444444444e-05 6.944444444444444e-05 G023.264+00.077
23.2769 0.3143 108.8000 0.0205 0.0205 0 4.0500 -0.5 1.0 0.0 0.00042052337777777777 0.00042052337777777777 G023.276+00.314
23.5722 -0.0194 91.3000 0.0489 0.0489 0 4.0500 -0.5 1.0 0.0 0.0023863225000000004 0.0023863225000000004 G023.572-00.020
23.5815 -0.3997 90.1000 0.0507 0.0507 0 4.0500 -0.5 1.0 0.0 0.0025739415745563276 0.0025739415745563276 G023.581-00.400
23.5850 0.0290 92.2000 0.0059 0.0059 0 4.0500 -0.5 1.0 0.0 3.484278549382716e-05 3.484278549382716e-05 G023.585+00.029
23.6610 -0.2520 66.2000 0.0079 0.0079 0 4.0500 0.5 1.0 0.0 6.178309338271607e-05 6.178309338271607e-05 G023.661-00.252
23.7058 0.1658 -15.7000 0.0064 0.0064 0 4.0500 0.5 1.0 0.0 4.117093754340278e-05 4.117093754340278e-05 G023.705+00.165
23.7080 0.1743 -15.7000 0.0239 0.0239 0 4.0500 0.5 1.0 0.0 0.0005703141015625 0.0005703141015625 G023.708+00.174
23.7134 0.1756 -15.7000 0.0062 0.0062 0 4.0500 0.5 1.0 0.0 3.8702914694444444e-05 3.8702914694444444e-05 G023.713+00.175
23.7872 0.2236 107.4000 0.0263 0.0263 0 4.0500 0.5 1.0 0.0 0.0006942785840277777 0.0006942785840277777 G023.787+00.223
23.8727 -0.1190 73.8000 0.0083 0.0083 0 4.0500 0.5 1.0 0.0 6.944444444444444e-05 6.944444444444444e-05 G023.872-00.119
23.8975 0.0643 38.4000 0.0036 0.0036 0 4.0500 -0.5 1.0 0.0 1.2868163271604937e-05 1.2868163271604937e-05 G023.897+00.064
23.9075 0.0742 38.4000 0.0068 0.0068 0 4.0500 -0.5 1.0 0.0 4.644971502334105e-05 4.644971502334105e-05 G023.907+00.074
23.9576 0.1491 78.9000 0.0135 0.0135 0 4.0500 -0.5 1.0 0.0 0.00018293877454185958 0.00018293877454185958 G023.957+00.149
23.9808 -0.1097 75.8000 0.0067 0.0067 0 4.0500 0.5 1.0 0.0 4.431620375173612e-05 4.431620375173612e-05 G023.980-00.110
24.1263 -0.0658 86.9000 0.0166 0.0166 0 4.0500 0.5 1.0 0.0 0.0002752050588155864 0.0002752050588155864 G024.126-00.066
24.1382 0.1231 114.5000 0.0123 0.0123 0 4.0500 0.5 1.0 0.0 0.00015112672740817904 0.00015112672740817904 G024.138+00.123
24.1394 0.4323 98.4000 0.0224 0.0224 0 4.0500 -0.5 1.0 0.0 0.00050276850625 0.00050276850625 G024.139+00.432
24.1850 0.2116 111.9000 0.0247 0.0247 0 4.0500 0.5 1.0 0.0 0.0006116759460069443 0.0006116759460069443 G024.185+00.211
24.2170 -0.0436 82.0000 0.0083 0.0083 0 4.0500 0.5 1.0 0.0 6.944444444444444e-05 6.944444444444444e-05 G024.217-00.044
24.3476 0.0887 110.0000 0.0346 0.0346 0 4.0500 0.5 1.0 0.0 0.001195872457484568 0.001195872457484568 G024.347+00.088
24.4566 0.4891 -15.7000 0.0159 0.0159 0 4.0500 0.5 1.0 0.0 0.0002512973527970679 0.0002512973527970679 G024.456+00.489
24.4938 -0.2187 98.5000 0.0411 0.0411 0 4.0500 0.5 1.0 0.0 0.0016898493938271605 0.0016898493938271605 G024.493-00.219
24.4986 -0.0389 108.1000 0.0083 0.0083 0 4.0500 0.5 1.0 0.0 6.944444444444444e-05 6.944444444444444e-05 G024.498-00.039
24.5071 -0.2245 96.3000 0.0083 0.0083 0 4.0500 -0.5 1.0 0.0 6.944444444444444e-05 6.944444444444444e-05 G024.507-00.225
24.5076 0.2395 -15.7000 0.0513 0.0513 0 4.0500 0.5 1.0 0.0 0.0026353535240933646 0.0026353535240933646 G024.507+00.239
24.7241 -0.0834 109.7000 0.0353 0.0353 0 4.0500 0.5 1.0 0.0 0.0012459233111304015 0.0012459233111304015 G024.724-00.084
24.7289 0.1590 109.3000 0.0105 0.0105 0 4.0500 -0.5 1.0 0.0 0.00011017622068074849 0.00011017622068074849 G024.728+00.159
24.7345 0.0871 111.3000 0.0119 0.0119 0 4.0500 -0.5 1.0 0.0 0.0001412948255625 0.0001412948255625 G024.734+00.087
24.7431 -0.2094 82.6000 0.0155 0.0155 0 4.0500 -0.5 1.0 0.0 0.00023912326859567898 0.00023912326859567898 G024.743-00.210
24.8441 0.0939 -15.7000 0.0348 0.0348 0 4.0500 0.5 1.0 0.0 0.0012143482562499998 0.0012143482562499998 G024.844+00.093
25.2867 0.2980 39.6000 0.0280 0.0280 0 4.0500 -0.5 1.0 0.0 0.0007832457370563271 0.0007832457370563271 G025.286+00.298
25.2917 -0.3023 63.7000 0.0394 0.0394 0 4.0500 0.5 1.0 0.0 0.001548739502334105 0.001548739502334105 G025.291-00.303
25.3827 -0.1505 -15.7000 0.0633 0.0633 0 4.0500 0.5 1.0 0.0 0.0040115509379822535 0.0040115509379822535 G025.382-00.151
25.3860 -0.3470 62.1000 0.0302 0.0302 0 4.0500 0.5 1.0 0.0 0.0009129965840277779 0.0009129965840277779 G025.386-00.347
25.3978 0.0337 -14.4000 0.0055 0.0055 0 4.0500 0.5 1.0 0.0 3.038627814062501e-05 3.038627814062501e-05 G025.397+00.033
25.3980 0.5620 12.9000 0.0059 0.0059 0 4.0500 0.5 1.0 0.0 3.484278549382716e-05 3.484278549382716e-05 G025.398+00.562
25.4012 0.0217 -14.4000 0.0040 0.0040 0 4.0500 0.5 1.0 0.0 1.5914004750192898e-05 1.5914004750192898e-05 G025.401+00.021
25.4770 0.0400 -14.6000 0.0059 0.0059 0 4.0500 0.5 1.0 0.0 3.484278549382716e-05 3.484278549382716e-05 G025.477+00.040
25.6514 -0.0308 87.5000 0.0132 0.0132 0 4.0500 0.5 1.0 0.0 0.0001749704305748457 0.0001749704305748457 G025.651-00.031
25.7967 0.2398 112.1000 0.0033 0.0033 0 4.0500 -0.5 1.0 0.0 1.111111111111111e-05 1.111111111111111e-05 G025.796+00.239
25.8012 -0.1570 99.0000 0.0090 0.0090 0 4.0500 -0.5 1.0 0.0 8.0423778449267e-05 8.0423778449267e-05 G025.801-00.158
25.8673 0.1189 -15.7000 0.0896 0.0896 0 4.0500 0.5 1.0 0.0 0.00802071994677855 0.00802071994677855 G025.867+00.118
26.3846 1.4012 41.7000 0.0158 0.0158 0 4.0500 -0.5 1.0 0.0 0.00024807125007716047 0.00024807125007716047 G026.384+01.401
26.4431 1.7416 37.3000 0.0280 0.0280 0 4.0500 -0.5 1.0 0.0 0.0007835411782600308 0.0007835411782600308 G026.443+01.741
26.5214 -0.3160 104.2000 0.0553 0.0553 0 4.0500 0.5 1.0 0.0 0.0030553256250000003 0.0030553256250000003 G026.521-00.317
26.5425 0.4192 88.4000 0.0143 0.0143 0 4.0500 0.5 1.0 0.0 0.00020368046944444445 0.00020368046944444445 G026.542+00.419
26.5959 0.0952 102.5000 0.0083 0.0083 0 4.0500 0.5 1.0 0.0 6.944444444444444e-05 6.944444444444444e-05 G026.595+00.095
26.5977 -0.0237 19.4000 0.0037 0.0037 0 4.0500 0.5 1.0 0.0 1.3660518666859568e-05 1.3660518666859568e-05 G026.597-00.024
26.6100 -0.2120 -35.7000 0.0059 0.0059 0 4.0500 0.5 1.0 0.0 3.484278549382716e-05 3.484278549382716e-05 G026.610-00.212
26.7960 3.5291 5.6000 0.0822 0.0822 0 4.0500 -0.5 1.0 0.0 0.0067517491259452165 0.0067517491259452165 G026.796+03.529
26.7973 -0.1123 69.2000 0.1088 0.1088 0 4.0500 0.5 1.0 0.0 0.011847173555632714 0.011847173555632714 G026.797-00.113
26.8027 3.5270 5.6000 0.0097 0.0097 0 4.0500 -0.5 1.0 0.0 9.339235911188273e-05 9.339235911188273e-05 G026.802+03.526
26.9846 -0.0615 79.9000 0.0217 0.0217 0 4.0500 0.5 1.0 0.0 0.0004689931640625001 0.0004689931640625001 G026.984-00.062
27.1827 -0.0828 27.8000 0.0023 0.0023 0 4.0500 0.5 1.0 0.0 5.477225120563272e-06 5.477225120563272e-06 G027.182-00.083
27.1862 -0.0822 27.8000 0.0023 0.0023 0 4.0500 0.5 1.0 0.0 5.477225120563272e-06 5.477225120563272e-06 G027.186-00.083
27.1877 -0.0797 27.8000 0.0023 0.0023 0 4.0500 0.5 1.0 0.0 5.477225120563272e-06 5.477225120563272e-06 G027.187-00.080
27.2105 0.2823 5.9000 0.0059 0.0059 0 4.0500 0.5 1.0 0.0 3.484278549382716e-05 3.484278549382716e-05 G027.210+00.282
27.2792 0.1603 36.3000 0.0070 0.0070 0 4.0500 0.5 1.0 0.0 4.90709979214892e-05 4.90709979214892e-05 G027.279+00.160
27.2799 0.1437 36.3000 0.0046 0.0046 0 4.0500 0.5 1.0 0.0 2.1009490817901237e-05 2.1009490817901237e-05 G027.279+00.143
27.2814 -0.1319 92.3000 0.0341 0.0341 0 4.0500 -0.5 1.0 0.0 0.0011597146460069444 0.0011597146460069444 G027.281-00.132
27.4765 0.1790 34.0000 0.0174 0.0174 0 4.0500 0.5 1.0 0.0 0.0003034273673611111 0.0003034273673611111 G027.476+00.179
