GLON GLAT VLSR a b pa d_VLSR p_far cos_pa sin_pa aa bb f_avg DESIGNATION in_grs
14.8834 -0.1963 40.68 0.0023 0.0023 0 3.367 -0.5 1.0 0.0 5.457415123456791e-06 5.457415123456791e-06 1 HIGALBM14.8834-0.1963 0
14.8936 0.8509 6.146 0.0024 0.0024 0 3.367 -0.5 1.0 0.0 5.627438271604938e-06 5.627438271604938e-06 1 HIGALBM14.8936+0.8509 0
14.9145 -0.2102 40.575 0.0042 0.0042 0 3.367 -0.5 1.0 0.0 1.7710069444444442e-05 1.7710069444444442e-05 1 HIGALBM14.9145-0.2102 1
14.9258 -0.177 27.755 0.0028 0.0028 0 3.367 -0.5 1.0 0.0 8.05140625e-06 8.05140625e-06 1 HIGALBM14.9258-0.1770 1
14.9419 -0.1846 40.462 0.0038 0.0038 0 3.367 -0.5 1.0 0.0 1.467315586419753e-05 1.467315586419753e-05 1 HIGALBM14.9419-0.1846 1
14.9569 0.6936 27.253 0.0028 0.0028 0 3.367 -0.5 1.0 0.0 8.10667438271605e-06 8.10667438271605e-06 1 HIGALBM14.9569+0.6936 1
14.9668 -0.3095 27.7 0.0032 0.0032 0 3.367 -0.5 1.0 0.0 1.0454444444444443e-05 1.0454444444444443e-05 1 HIGALBM14.9668-0.3095 1
15.0094 0.0093 25.006 0.003 0.003 0 3.367 -0.5 1.0 0.0 9.100277777777777e-06 9.100277777777777e-06 1 HIGALBM15.0094+0.0093 1
15.0118 0.068 31.971 0.0012 0.0012 0 3.367 -0.5 1.0 0.0 1.4567148919753083e-06 1.4567148919753083e-06 1 HIGALBM15.0118+0.0680 1
15.0407 0.5972 24.925 0.004 0.004 0 3.367 -0.5 1.0 0.0 1.582271604938272e-05 1.582271604938272e-05 1 HIGALBM15.0407+0.5972 1
15.0529 0.0823 30.971 0.0031 0.0031 0 3.367 -0.5 1.0 0.0 9.870069444444444e-06 9.870069444444444e-06 1 HIGALBM15.0529+0.0823 1
15.0699 0.2026 27.454 0.0019 0.0019 0 3.367 0.5 1.0 0.0 3.599452160493827e-06 3.599452160493827e-06 1 HIGALBM15.0699+0.2026 1
15.0793 -0.2606 30.105 0.0021 0.0021 0 3.367 -0.5 1.0 0.0 4.259637345679013e-06 4.259637345679013e-06 1 HIGALBM15.0793-0.2606 1
15.0942 0.1915 27.636 0.0017 0.0017 0 3.367 0.5 1.0 0.0 2.8009741512345683e-06 2.8009741512345683e-06 1 HIGALBM15.0942+0.1915 1
15.1287 -0.4955 19.803 0.0036 0.0036 0 3.367 -0.5 1.0 0.0 1.2612363040123458e-05 1.2612363040123458e-05 1 HIGALBM15.1287-0.4955 1
15.1528 -0.4823 20.194 0.0021 0.0021 0 3.367 -0.5 1.0 0.0 4.42167438271605e-06 4.42167438271605e-06 1 HIGALBM15.1528-0.4823 1
15.1948 -0.5274 28.689 0.0025 0.0025 0 3.367 -0.5 1.0 0.0 6.340603780864197e-06 6.340603780864197e-06 1 HIGALBM15.1948-0.5274 0
15.2334 -0.4716 20.297 0.0033 0.0033 0 3.367 -0.5 1.0 0.0 1.0734724151234568e-05 1.0734724151234568e-05 1 HIGALBM15.2334-0.4716 1
15.257 -0.1558 32.653 0.0019 0.0019 0 3.367 -0.5 1.0 0.0 3.7970852623456785e-06 3.7970852623456785e-06 1 HIGALBM15.2570-0.1558 1
15.2923 -0.3021 32.087 0.0018 0.0018 0 3.367 -0.5 1.0 0.0 3.067363040123456e-06 3.067363040123456e-06 1 HIGALBM15.2923-0.3021 1
15.2937 -0.01 32.249 0.0017 0.0017 0 3.367 -0.5 1.0 0.0 2.985216049382716e-06 2.985216049382716e-06 1 HIGALBM15.2937-0.0100 1
15.3208 -0.097 30.579 0.0033 0.0033 0 3.367 -0.5 1.0 0.0 1.0643906249999999e-05 1.0643906249999999e-05 1 HIGALBM15.3208-0.0970 1
