lonMin lonMax latMin latMax velMin velMax KDA pFar
32.425 32.655 0.16 0.52 74.355 78.545 F 1.0
35.525 35.955 0.775 1.205 80.295 81.945 F 1.0
18.125 18.955 -0.025 0.205 122.785 127.875 N 0.0
39.24 39.54 -1.23 -0.59 51.375 54.765 N 0.0
21.24 21.44 0.02 0.16 112.9 115.66 N 0.0
27.74 28.14 0.14 0.24 40.065 43.975 N 0.0
27.945 28.635 -0.84 -0.38 2.385 9.395 N 0.0
19.24 19.74 0.03 0.25 111.05 115.81 F 1.0
18.96 19.32 0.255 0.625 17.665 19.615 N 0.0
38.54 38.84 -0.215 -0.005 40.815 43.225 N 0.0
31.3 31.78 -0.49 -0.23 88.32 91.78 F 1.0
31.14 31.64 -0.52 0.0 85.015 89.145 F 1.0
24.205 24.675 0.03 0.35 32.91 38.37 F 1.0
25.645 26.035 0.015 0.165 28.875 32.205 N 0.0
35.74 36.24 0.315 0.965 59.875 64.125 N 0.0
26.225 26.455 -0.055 0.135 53.03 57.35 N 0.0
37.3 38.18 -0.675 -0.245 72.59 76.91 N 0.0
19.35 19.83 -1.3 -0.52 34.405 37.735 N 0.0
41.795 41.885 -0.86 -0.76 35.73 37.25 N 0.0
37.98 38.1 0.12 0.26 41.58 44.16 N 0.0
28.12 28.56 -0.19 0.07 31.875 36.865 F 1.0
21.025 21.355 -0.45 -0.17 33.405 37.875 F 1.0
48.765 49.015 -0.125 0.205 40.065 45.675 N 0.0
25.77 26.11 0.135 0.345 68.13 72.87 N 0.0
27.35 27.53 -0.915 -0.805 85.615 87.685 F 1.0
42.345 42.535 -0.61 -0.41 32.235 35.645 N 0.0
22.79 23.49 -0.005 0.385 18.005 22.675 F 1.0
25.595 25.785 0.235 0.545 55.98 58.66 F 1.0
29.69 30.19 -0.235 0.315 6.76 8.42 F 1.0
45.89 46.39 -0.605 0.185 23.845 27.035 N 0.0
24.09 24.39 -0.87 -0.65 42.425 45.015 N 0.0
46.54 47.34 -0.625 0.005 38.98 42.5 N 0.0
32.72 32.86 0.805 0.975 8.585 9.995 N 0.0
41.98 42.4 -0.945 -0.275 33.26 36.32 N 0.0
45.35 45.93 0.14 0.44 25.255 28.185 N 0.0
27.985 28.195 -0.225 0.005 44.415 46.425 N 0.0
27.005 27.375 -0.19 -0.03 44.565 50.515 N 0.0
45.605 46.075 -0.78 -0.34 47.775 52.405 N 0.0
40.41 40.97 0.54 0.94 33.605 38.535 N 0.0
46.62 46.96 -0.04 0.12 47.145 50.495 N 0.0
21.605 21.775 -0.045 0.025 20.65 23.43 F 1.0
36.04 36.24 0.01 0.17 73.64 77.56 N 0.0
31.24 31.44 -0.75 -0.57 83.495 86.405 F 1.0
25.48 25.9 -0.085 0.165 53.315 57.065 F 1.0
40.955 41.325 0.54 1.04 31.985 37.595 N 0.0
32.35 32.73 -0.4 -0.12 42.985 45.295 F 1.0
28.11 28.37 0.265 0.415 53.96 57.28 N 0.0
25.04 25.34 -0.14 0.32 44.155 46.685 N 0.0
46.36 46.82 0.235 0.445 5.065 6.715 N 0.0
28.3 28.58 -0.095 0.075 42.555 44.885 N 0.0
22.09 22.49 -1.12 -0.7 63.33 67.47 F 1.0
18.075 18.605 -1.055 -0.665 37.775 40.305 F 1.0
20.75 20.93 -0.01 0.29 56.375 60.825 F 1.0
38.575 38.805 0.26 0.62 14.89 18.99 N 0.0
48.735 49.045 0.145 0.335 45.435 47.105 F 1.0
49.965 50.215 0.785 0.895 28.345 31.035 F 1.0
40.755 40.925 -0.25 -0.07 21.185 26.295 N 0.0
30.735 31.145 -0.25 0.13 65.845 70.055 N 0.0
27.62 28.06 0.135 0.645 4.025 10.295 N 0.0
29.845 30.035 -0.435 -0.185 46.505 49.435 N 0.0
26.545 26.835 -0.885 -0.435 7.565 9.315 N 0.0
21.915 22.165 -0.925 -0.795 65.94 69.1 F 1.0
54.875 55.705 0.69 1.29 4.0 10.32 F 1.0
38.89 39.29 0.355 0.625 21.26 24.52 F 1.0
24.01 24.37 -0.745 -0.575 83.765 89.535 F 1.0
42.85 43.43 -0.885 -0.635 57.385 60.655 F 1.0
17.775 18.105 0.695 1.185 -0.315 2.735 F 1.0
29.18 29.4 -0.785 -0.335 18.69 23.69 N 0.0
20.445 20.635 0.065 0.315 119.595 122.565 N 0.0
31.345 31.835 0.16 0.62 20.83 28.35 F 1.0
46.935 47.045 -0.485 -0.335 46.94 49.0 F 1.0
20.645 21.035 0.32 0.56 20.05 24.03 N 0.0
31.86 32.02 0.715 0.865 60.235 63.765 N 0.0
43.045 43.735 -0.23 0.11 14.375 18.645 F 1.0
41.87 42.11 -0.83 -0.69 33.34 36.24 N 0.0
37.0 37.58 -0.38 0.16 44.56 48.82 F 1.0
22.28 22.4 0.19 0.29 14.37 17.81 F 1.0
22.62 23.06 0.43 0.75 8.78 9.8 N 0.0
32.745 33.435 0.05 0.23 68.935 72.905 N 0.0
21.63 22.25 -0.055 0.135 99.265 107.195 N 0.0
27.41 27.97 0.565 0.815 5.895 8.425 F 1.0
41.135 41.645 -0.985 -0.835 34.26 36.18 N 0.0
36.425 36.655 0.135 0.545 70.62 72.92 N 0.0
28.805 29.175 -0.735 -0.285 19.17 24.91 N 0.0
31.985 32.195 0.3 0.48 22.505 24.115 N 0.0
30.68 31.1 -0.83 -0.19 72.24 73.86 F 1.0
20.745 21.235 -0.02 0.2 17.835 23.685 F 1.0
36.21 36.37 0.255 0.425 21.225 22.855 N 0.0
38.405 38.775 0.5 0.88 8.84 13.98 N 0.0
34.725 35.055 0.755 0.925 28.635 32.445 N 0.0
18.395 19.285 -0.175 0.155 107.2 112.0 F 1.0
28.205 28.475 -0.2 0.18 45.225 48.155 N 0.0
46.7 47.08 -0.52 -0.2 46.945 49.835 F 1.0
53.525 53.655 -0.645 -0.475 23.305 24.175 F 1.0
36.395 36.485 0.205 0.375 21.13 22.09 N 0.0
21.83 22.15 -0.265 0.145 65.725 71.015 F 1.0
39.985 40.095 -1.025 -0.595 27.995 30.545 N 0.0
33.33 33.95 -0.53 0.11 58.78 63.52 F 1.0
24.125 24.655 0.425 0.855 42.095 44.485 N 0.0
21.07 22.41 -0.055 0.235 94.025 97.135 F 1.0
39.05 39.43 -0.13 0.01 20.54 24.38 F 1.0
31.21 31.47 -0.79 -0.13 11.23 16.69 N 0.0
22.115 22.265 0.27 0.41 13.885 18.295 N 0.0
43.14 43.24 0.805 0.975 58.84 62.6 N 0.0
35.22 35.46 0.55 1.03 79.24 81.3 N 0.0
41.975 42.105 -0.025 0.405 16.475 19.945 F 1.0
27.955 28.325 0.28 0.4 33.37 37.91 F 1.0
21.335 22.045 -0.22 0.1 89.4 93.26 F 1.0
41.435 42.145 0.31 0.67 38.605 43.735 F 1.0
21.49 21.89 -0.23 0.41 48.495 54.245 N 0.0
20.69 21.29 -0.725 -0.295 39.26 43.08 F 1.0
18.035 18.145 -0.125 0.105 97.575 104.625 N 0.0
43.245 43.535 -0.8 -0.52 57.415 58.925 F 1.0
19.245 19.535 -0.075 0.155 67.53 70.07 N 0.0
18.215 19.065 -0.075 0.055 128.895 130.265 N 0.0
25.195 25.385 0.24 0.44 34.43 36.01 N 0.0
47.185 47.795 -0.465 0.045 3.455 10.025 N 0.0
47.38 47.7 -0.445 -0.275 46.285 48.795 N 0.0
25.08 25.5 -0.31 0.09 3.95 6.97 N 0.0
37.725 37.855 0.04 0.44 45.625 49.455 F 1.0
44.855 45.425 -0.215 0.195 24.39 29.05 N 0.0
43.35 43.63 -0.91 -0.51 39.815 43.365 N 0.0
31.605 31.875 -0.55 -0.17 87.755 89.805 F 1.0
29.47 29.91 0.1 0.38 93.04 96.42 N 0.0
23.36 23.52 0.83 1.25 7.76 9.12 N 0.0
26.355 26.825 -0.175 0.055 63.595 68.045 F 1.0
27.245 27.435 -0.375 -0.045 73.405 77.795 N 0.0
50.125 50.455 -0.515 -0.405 12.87 16.75 F 1.0
38.265 39.215 -0.655 -0.265 48.04 53.0 F 1.0
39.385 39.795 -0.155 0.135 42.6 43.98 N 0.0
36.75 36.93 0.625 0.755 44.575 45.405 F 1.0
26.925 27.555 0.03 0.55 20.945 29.075 F 1.0
36.735 37.045 -0.21 0.29 12.99 18.33 F 1.0
24.52 24.76 -0.085 0.365 38.505 41.275 N 0.0
21.02 22.06 0.07 0.41 76.66 80.48 F 1.0
48.845 49.035 0.13 0.25 43.485 44.795 F 1.0
37.14 37.44 -0.48 -0.04 35.07 40.47 F 1.0
40.89 41.69 0.065 0.615 12.265 17.355 F 1.0
46.49 46.69 -0.015 0.395 7.06 9.82 N 0.0
36.88 37.6 -0.505 -0.215 64.96 70.08 F 1.0
52.735 53.645 0.0 0.38 0.475 9.605 F 1.0
47.145 47.335 -0.615 -0.305 46.885 49.055 N 0.0
25.37 26.11 0.215 0.565 91.985 94.915 F 1.0
41.51 41.67 0.17 0.41 57.5 60.54 N 0.0
37.61 38.17 0.76 1.32 6.45 15.53 F 1.0
21.325 21.855 -0.19 0.07 112.405 117.015 N 0.0
22.18 22.7 -0.26 -0.06 26.675 32.705 F 1.0
28.805 29.175 -0.68 -0.14 63.605 68.035 N 0.0
27.18 27.4 -0.64 -0.38 67.68 70.76 N 0.0
30.5 30.68 0.945 1.035 50.49 52.25 N 0.0
24.34 24.84 0.155 0.425 58.335 63.105 N 0.0
