GLON GLAT VLSR a b pa d_VLSR p_far cos_pa sin_pa aa bb Dist_lit KDA f_avg ID in_grs
29.1568 0.4623 24.5900 0.0045 0.0030 146 3.3200 -0.5 -0.8290375725550416 0.5591929034707469 1.9814863040123454e-05 8.8093537808642e-06 1.83 N 1 4114 1
29.1879 -0.4077 75.8100 0.0023 0.0022 124 3.3200 0.5 -0.5591929034707467 0.8290375725550418 5.283613040123456e-06 4.913611111111111e-06 10.12 F 1 4116 1
29.1985 -0.2523 91.3300 0.0040 0.0022 115 3.3200 -0.5 -0.42261826174069933 0.90630778703665 1.6267777777777776e-05 4.754822530864196e-06 5.55 N 1 4119 1
29.2639 0.0530 89.6600 0.0055 0.0019 216 3.3200 0.5 -0.8090169943749475 -0.587785252292473 3.0571684027777775e-05 3.5469444444444447e-06 9.37 F 1 4128 1
29.5007 0.3845 81.7600 0.0035 0.0024 230 3.3200 -0.5 -0.6427876096865396 -0.7660444431189779 1.2075624999999998e-05 5.700156250000001e-06 5.03 N 1 4161 1
29.5246 -0.0124 48.6000 0.0065 0.0046 234 3.3200 0.5 -0.5877852522924732 -0.8090169943749473 4.228611882716049e-05 2.151929012345679e-05 11.51 F 1 4165 1
29.5496 -0.3822 101.1000 0.0027 0.0018 238 3.3200 0.5 -0.529919264233205 -0.8480480961564258 7.1037056327160515e-06 3.0625000000000003e-06 8.55 F 1 4169 1
29.5533 0.3249 94.0900 0.0024 0.0014 230 3.3200 -0.5 -0.6427876096865396 -0.7660444431189779 5.887363040123455e-06 2.038549382716049e-06 5.74 N 1 4173 1
29.5520 0.3391 94.0900 0.0029 0.0018 226 3.3200 -0.5 -0.6946583704589973 -0.7193398003386512 8.393896604938271e-06 3.2350019290123456e-06 5.74 N 1 4174 1
29.5777 -0.2707 97.2800 0.0028 0.0025 247 3.3200 -0.5 -0.3907311284892738 -0.9205048534524403 8.043526234567902e-06 6.495418595679013e-06 5.96 N 1 4178 1
29.5821 -0.2925 97.4900 0.0028 0.0018 164 3.3200 -0.5 -0.9612616959383189 0.2756373558169992 8.027777777777777e-06 3.300277777777778e-06 5.97 N 1 4179 1
29.5878 -0.2474 99.1900 0.0065 0.0043 209 3.3200 -0.5 -0.8746197071393959 -0.48480962024633695 4.28661188271605e-05 1.860963734567901e-05 6.09 N 1 4182 1
29.6099 -0.2842 97.7000 0.0055 0.0028 97 3.3200 -0.5 -0.12186934340514738 0.9925461516413221 3.0219452160493824e-05 7.996327160493826e-06 5.99 N 1 4188 1
29.6151 -0.2280 97.4900 0.0037 0.0019 93 3.3200 -0.5 -0.05233595624294384 0.9986295347545738 1.3782656250000001e-05 3.791674382716049e-06 5.97 N 1 4189 1
29.6219 -0.2790 97.2800 0.0023 0.0010 253 3.3200 -0.5 -0.2923717047227362 -0.9563047559630357 5.515974151234568e-06 1.0620447530864198e-06 5.96 N 1 4190 1
29.6256 -0.2036 99.1900 0.0035 0.0022 194 3.3200 -0.5 -0.9702957262759965 -0.2419218955996675 1.2415835262345678e-05 4.7730111882716056e-06 6.1 N 1 4194 1
29.6337 0.3689 81.9700 0.0047 0.0025 105 3.3200 -0.5 -0.25881904510252063 0.9659258262890683 2.2076946373456787e-05 6.25e-06 5.05 N 1 4197 1
29.6570 -0.2295 100.0400 0.0032 0.0026 193 3.3200 -0.5 -0.9743700647852352 -0.22495105434386498 1.0107100694444446e-05 6.573526234567902e-06 6.17 N 1 4199 1
29.6597 -0.0984 101.7400 0.0053 0.0036 192 3.3200 -0.5 -0.9781476007338056 -0.2079116908177595 2.8429631558641977e-05 1.3150696373456788e-05 6.31 N 1 4200 1
29.6840 -0.1849 95.5800 0.0048 0.0024 106 3.3200 -0.5 -0.27563735581699905 0.9612616959383189 2.337453896604939e-05 5.686900077160496e-06 5.85 N 1 4201 1
29.7236 -0.1474 100.0400 0.0041 0.0016 103 3.3200 -0.5 -0.22495105434386503 0.9743700647852352 1.6594307484567902e-05 2.546684027777778e-06 6.18 N 1 4206 1
29.7357 -0.1368 99.6100 0.0030 0.0012 101 3.3200 -0.5 -0.1908089953765448 0.981627183447664 8.991668595679013e-06 1.5417361111111108e-06 6.14 N 1 4208 1
29.7536 -0.1147 99.6100 0.0033 0.0021 124 3.3200 -0.5 -0.5591929034707467 0.8290375725550418 1.1037160493827163e-05 4.3229340277777774e-06 6.15 N 1 4210 1
29.7492 0.0683 44.9900 0.0029 0.0022 159 3.3200 -0.5 -0.9335804264972016 0.35836794954530066 8.178011188271606e-06 4.694444444444444e-06 3.08 N 1 4211 1
29.7788 -0.2287 101.1000 0.0058 0.0031 246 3.3200 -0.5 -0.4067366430758009 -0.9135454576426006 3.320640625e-05 9.670372299382718e-06 6.27 N 1 4218 1
29.7932 0.0470 103.6500 0.0032 0.0029 255 3.3200 -0.5 -0.25881904510252063 -0.9659258262890683 1.0115933641975308e-05 8.547501929012347e-06 6.51 N 1 4221 1
29.8325 0.0097 100.4600 0.0019 0.0015 150 3.3200 -0.5 -0.8660254037844385 0.5000000000000003 3.432785493827161e-06 2.142970679012345e-06 6.22 N 1 4227 1
29.9710 0.3017 100.4700 0.0015 0.0010 260 3.3200 -0.5 -0.17364817766693033 -0.984807753012208 2.2918595679012346e-06 9.506249999999999e-07 6.25 N 1 4271 1
29.9844 0.2991 100.0400 0.0029 0.0027 143 3.3200 -0.5 -0.7986355100472929 0.6018150231520482 8.434184027777779e-06 7.1630574845679005e-06 6.21 N 1 4273 1
29.9821 0.3173 99.8300 0.0036 0.0023 159 3.3200 -0.5 -0.9335804264972016 0.35836794954530066 1.2731020447530864e-05 5.470401234567902e-06 6.19 N 1 4274 1
30.0649 0.0829 96.4300 0.0023 0.0017 122 3.3200 -0.5 -0.5299192642332048 0.8480480961564261 5.075007716049382e-06 2.918402777777778e-06 5.94 N 1 4299 1
30.1962 0.3087 7.8300 0.0019 0.0017 161 3.3200 -0.5 -0.9455185755993168 0.3255681544571566 3.6523456790123455e-06 3.038242669753087e-06 0.54 N 1 4317 1
30.2090 0.4265 70.2900 0.0030 0.0021 105 3.3200 -0.5 -0.25881904510252063 0.9659258262890683 8.850625000000001e-06 4.404168595679012e-06 4.44 N 1 4320 1
30.2099 -0.0885 94.0900 0.0051 0.0039 184 3.3200 -0.5 -0.9975640502598242 -0.06975647374412527 2.592506944444444e-05 1.5372934027777778e-05 5.79 N 1 4322 1
30.2474 0.2421 2.8400 0.0048 0.0038 263 3.3200 -0.5 -0.12186934340514717 -0.9925461516413221 2.332085069444445e-05 1.4166859567901237e-05 0.11 N 1 4327 1
30.2544 0.3362 76.8700 0.0060 0.0040 180 3.3200 0.5 -1.0 1.2246467991473532e-16 3.6166859567901224e-05 1.5878011188271602e-05 9.9 F 1 4332 1
30.2789 0.3500 71.5900 0.0032 0.0026 244 3.3200 0.5 -0.43837114678907774 -0.8987940462991668 1.0391668595679012e-05 6.76e-06 10.18 F 1 4335 1
30.3423 -0.4161 16.0900 0.0048 0.0028 217 3.3200 0.5 -0.7986355100472928 -0.6018150231520484 2.3013341049382713e-05 7.585434027777777e-06 13.48 F 1 4365 1
30.4089 0.2257 88.5300 0.0033 0.0026 234 3.3200 0.5 -0.5877852522924732 -0.8090169943749473 1.0743827160493828e-05 6.971066743827161e-06 9.21 F 1 4394 1
30.4775 0.3328 72.0900 0.0026 0.0016 201 3.3200 -0.5 -0.9335804264972016 -0.35836794954530043 6.731141975308641e-06 2.4587982253086413e-06 4.53 N 1 4420 1
30.5051 0.3345 45.6900 0.0025 0.0020 182 3.3200 0.5 -0.9993908270190958 -0.03489949670250089 6.02293402777778e-06 4.134444444444445e-06 11.55 F 1 4440 1
30.6660 -0.3310 88.1400 0.0023 0.0017 135 3.3200 -0.5 -0.7071067811865475 0.7071067811865476 5.100069444444445e-06 2.731674382716049e-06 5.44 N 1 4497 1
30.6877 -0.3014 92.8100 0.0023 0.0015 228 3.3200 -0.5 -0.6691306063588585 -0.743144825477394 5.418549382716051e-06 2.376736111111111e-06 5.75 N 1 4502 1
30.7095 -0.3407 100.4900 0.0076 0.0038 199 3.3200 -0.5 -0.945518575599317 -0.32556815445715637 5.744376736111111e-05 1.4726406249999999e-05 6.38 N 1 4510 1
30.7171 -0.3219 100.4900 0.0050 0.0029 184 3.3200 -0.5 -0.9975640502598242 -0.06975647374412527 2.4792100694444444e-05 8.369770447530863e-06 6.38 N 1 4513 1
30.7244 0.3765 81.9700 0.0041 0.0034 221 3.3200 0.5 -0.7547095802227721 -0.6560590289905072 1.6855586419753083e-05 1.1437548225308645e-05 9.53 F 1 4521 1
30.7392 0.3891 45.1900 0.0040 0.0026 228 3.3200 -0.5 -0.6691306063588585 -0.743144825477394 1.6022229938271606e-05 6.956406249999998e-06 3.07 N 1 4524 1
30.7493 0.1838 73.0900 0.0033 0.0026 265 3.3200 -0.5 -0.08715574274765825 -0.9961946980917455 1.068926697530864e-05 6.55929012345679e-06 4.59 N 1 4528 1
30.7653 -0.7795 77.9400 0.0022 0.0014 109 3.3200 -0.5 -0.32556815445715664 0.9455185755993168 4.760881558641976e-06 1.8412982253086422e-06 4.86 N 1 4536 1
30.7756 0.3941 86.5400 0.0041 0.0032 262 3.3200 0.5 -0.13917310096006583 -0.9902680687415703 1.6935511188271603e-05 9.948767361111111e-06 9.26 F 1 4540 1
30.7779 0.2814 42.3000 0.0047 0.0042 240 3.3200 -0.5 -0.49999999999999967 -0.8660254037844388 2.2233844521604943e-05 1.797995563271605e-05 2.9 N 1 4545 1
30.8156 -0.3028 89.2000 0.0046 0.0029 218 3.3200 -0.5 -0.788010753606722 -0.6156614753256582 2.133926697530864e-05 8.329637345679015e-06 5.52 N 1 4559 1
30.8812 -0.0922 101.3200 0.0050 0.0026 155 3.3200 0.5 -0.9063077870366499 0.4226182617406995 2.4916736111111105e-05 6.723937114197533e-06 8.07 F 1 4584 1
30.9048 -0.0326 74.5800 0.0021 0.0015 172 3.3200 0.5 -0.9902680687415703 0.13917310096006574 4.404168595679012e-06 2.171529706790123e-06 9.91 F 1 4602 1
