GLON GLAT VLSR a b pa d_VLSR p_far cos_pa sin_pa aa bb Dist_lit KDA f_avg ID in_grs
23.1100 0.5500 40.4400 0.0183 0.0100 35 1.8800 -0.5 0.8231363685344419 0.5678437450531012 0.00033611111111111114 0.0001 2.2 N 0 C23.12+0.56 1
23.3200 -0.2300 81.7300 0.0367 0.0150 160 4.5300 -0.5 -0.9420574527872967 0.33545156975025514 0.0013444444444444445 0.000225 4.9 N 0 C23.24-0.24 1
23.4700 -0.0500 84.2200 0.0700 0.0400 168 3.4600 -0.5 -0.9762960071199334 0.21643961393810274 0.004900000000000001 0.0016 5.6 N 0 C23.54-0.04 1
23.7400 0.1700 112.0300 0.0883 0.0300 179 4.1000 0.5 -0.9997014897811831 0.024432178152653528 0.007802777777777777 0.0009 9.2 F 0 C23.82+0.22 1
23.9900 -0.0900 72.2400 0.0150 0.0117 154 5.5400 0.5 -0.8987940462991668 0.4383711467890777 0.000225 0.00013611111111111107 10.7 F 0 C24.00-0.10 1
24.2400 -0.0400 88.2400 0.1033 0.0450 151 3.6600 0.5 -0.8746197071393957 0.48480962024633717 0.010677777777777777 0.0020250000000000003 10.2 F 0 C24.13-0.07 1
24.1300 0.1300 113.7600 0.0267 0.0117 172 3.9100 0.5 -0.9909831997148363 0.13398618541829224 0.0007111111111111113 0.00013611111111111107 8.7 F 0 C24.14+0.12 1
24.2300 0.2200 114.0100 0.0267 0.0167 63 3.6600 0.5 0.4508775406894308 0.8925858184521255 0.0007111111111111113 0.0002777777777777778 8.9 F 0 C24.19+0.20 1
24.2100 -0.0500 89.3900 0.0250 0.0117 153 5.8300 0.5 -0.8878153851364012 0.46019978478385176 0.0006250000000000001 0.00013611111111111107 10.4 F 0 C24.22-0.05 1
24.3400 -0.1600 54.8100 0.0383 0.0167 7 5.3300 0.5 0.9927573419294455 0.12013683883464715 0.0014694444444444442 0.0002777777777777778 11.7 F 0 C24.30-0.15a 1
24.4500 -0.2800 96.3500 0.0183 0.0100 27 1.7500 -0.5 0.8941542368393682 0.44775908783876966 0.00033611111111111114 0.0001 5.9 N 0 C24.46-0.25 1
24.4700 0.4900 102.6700 0.0217 0.0117 82 5.7600 -0.5 0.13225639025712246 0.9912155402515417 0.0004694444444444445 0.00013611111111111107 5.9 N 0 C24.47+0.49 1
24.7900 0.0900 108.3100 0.0167 0.0117 118 8.2200 -0.5 -0.4617486132350338 0.8870108331782218 0.0002777777777777778 0.00013611111111111107 6.4 N 0 C24.81+0.10 1
25.3200 -0.2000 62.4100 0.0367 0.0067 168 2.7000 0.5 -0.9781476007338056 0.20791169081775973 0.0013444444444444445 4.444444444444445e-05 11.2 F 0 C25.26-0.32 1
25.4100 -0.3400 56.5600 0.0450 0.0167 133 3.4000 0.5 -0.6832737736807992 0.7301622766207523 0.0020250000000000003 0.0002777777777777778 11.3 F 0 C25.39-0.35 1
25.7300 0.2400 110.3500 0.0383 0.0150 123 5.2400 -0.5 -0.5504807400849956 0.8348478632634065 0.0014694444444444442 0.000225 6.7 N 0 C25.77+0.21 1
26.1400 -0.0700 104.5100 0.0317 0.0167 14 4.3800 -0.5 0.9715491199976461 0.23683814606561868 0.0010027777777777776 0.0002777777777777778 6.2 N 0 C26.10-0.07b 1
26.5700 0.4400 85.8300 0.0400 0.0167 102 3.3400 0.5 -0.19936793441719708 0.9799247046208296 0.0016 0.0002777777777777778 9.8 F 0 C26.54+0.42 1
26.5200 -0.2800 106.2500 0.0183 0.0133 129 2.7600 0.5 -0.6252426563357052 0.7804304073383297 0.00033611111111111114 0.0001777777777777778 8.9 F 0 C26.56-0.31 1
26.5700 0.1200 98.7500 0.0417 0.0133 98 4.8800 0.5 -0.1357155724343043 0.9907478404714436 0.001736111111111111 0.0001777777777777778 9.0 F 0 C26.60+0.09 1
26.9500 -0.0800 81.5100 0.0133 0.0067 82 3.2800 0.5 0.14435620100097335 0.9895257890689695 0.0001777777777777778 4.444444444444445e-05 10.2 F 0 C26.98-0.07 1
27.5000 0.2000 35.7100 0.0100 0.0050 162 2.6800 0.5 -0.9488760116444965 0.31564903694710256 0.0001 2.5e-05 12.8 F 0 C27.49+0.19 1
28.3300 -0.0400 34.6000 0.0100 0.0083 135 3.6200 0.5 -0.7071067811865475 0.7071067811865476 0.0001 6.944444444444444e-05 12.6 F 0 C28.31-0.02a 1
28.3200 -0.0100 99.7000 0.0300 0.0150 94 4.0900 -0.5 -0.06104853953485678 0.998134798421867 0.0009 0.000225 5.6 N 0 C28.31-0.02b 1
28.6500 0.0300 104.7900 0.0133 0.0117 101 5.6100 0.5 -0.19594614424251758 0.980614658546613 0.0001777777777777778 0.00013611111111111107 8.6 F 0 C28.66+0.03 1
28.7800 0.2400 108.3300 0.0133 0.0083 54 3.1600 0.5 0.5849576749872155 0.8110638189893267 0.0001777777777777778 6.944444444444444e-05 8.8 F 0 C28.79+0.25 1
28.8900 -0.2300 95.5700 0.0717 0.0233 175 5.4800 -0.5 -0.99556196460308 0.0941083133185148 0.0051361111111111095 0.0005444444444444443 5.5 N 0 C28.82-0.23 1
28.9700 -0.6300 51.8000 0.0183 0.0133 67 2.6000 0.5 0.3842953226598039 0.9232102171129808 0.00033611111111111114 0.0001777777777777778 11.5 F 0 C28.98-0.60 1
30.2200 -0.1800 104.2100 0.0133 0.0100 27 3.3200 -0.5 0.8941542368393682 0.44775908783876966 0.0001777777777777778 0.0001 6.3 N 0 C30.20-0.15 1
30.8000 -0.0300 94.7600 0.0233 0.0150 73 7.3100 -0.5 0.2873605198497121 0.9578224948453149 0.0005444444444444443 0.000225 5.7 N 0 C30.78-0.03 1
30.8500 -0.1200 102.8300 0.1000 0.0400 110 3.3700 0.5 -0.33709525842308197 0.941470544812038 0.010000000000000002 0.0016 8.0 F 0 C30.83-0.19 1
31.0800 0.4600 30.2400 0.0133 0.0100 180 5.1600 0.5 -1.0 1.2246467991473532e-16 0.0001777777777777778 0.0001 12.9 F 0 C31.05+0.48 1
31.1400 -0.1500 41.4700 0.0267 0.0067 15 3.2100 0.5 0.9645574184577982 0.2638730499653727 0.0007111111111111113 4.444444444444445e-05 11.9 F 0 C31.17-0.13 1
31.5800 0.0800 96.1700 0.0133 0.0100 49 2.7100 -0.5 0.6560590289905074 0.7547095802227719 0.0001777777777777778 0.0001 6.7 N 0 C31.58+0.10 1
