GLON GLAT VLSR a b pa d_VLSR p_far cos_pa sin_pa aa bb Source
20.6690 -0.1300 56.4000 0.0680 0.0680 0 2.7500 0.5 1.0 0.0 0.0046240000000000005 0.0046240000000000005 2707
20.6850 -0.3340 62.6000 0.1010 0.1010 0 1.8100 -0.5 1.0 0.0 0.010200999999999998 0.010200999999999998 2713
20.7660 0.4850 28.8000 0.1008 0.1008 0 1.9500 -0.5 1.0 0.0 0.01016736111111111 0.01016736111111111 2717
20.7680 -0.0650 58.4000 0.0695 0.0695 0 2.4000 0.5 1.0 0.0 0.004830249999999999 0.004830249999999999 2720
20.7710 -0.2110 54.3000 0.0255 0.0255 0 1.5100 0.5 1.0 0.0 0.0006502499999999999 0.0006502499999999999 2724
20.8390 0.1390 57.8000 0.0703 0.0703 0 1.5900 -0.5 1.0 0.0 0.004946777777777777 0.004946777777777777 2737
20.9050 -0.1590 62.4000 0.0755 0.0755 0 2.5600 0.5 1.0 0.0 0.00570025 0.00570025 2738
20.8970 -0.0200 31.2000 0.0865 0.0865 0 2.1900 0.5 1.0 0.0 0.007482250000000001 0.007482250000000001 2740
20.9940 0.1180 20.9000 0.0870 0.0870 0 2.3700 0.5 1.0 0.0 0.007568999999999999 0.007568999999999999 2741
21.1790 -0.3200 36.4000 0.0842 0.0842 0 2.4000 0.5 1.0 0.0 0.007084027777777778 0.007084027777777778 2756
21.2830 0.1860 25.5000 0.0935 0.0935 0 1.4300 -0.5 1.0 0.0 0.00874225 0.00874225 2765
21.2240 -0.1530 91.6000 0.0867 0.0867 0 1.2000 0.5 1.0 0.0 0.007511111111111112 0.007511111111111112 2766
21.2600 0.2730 38.8000 0.0722 0.0722 0 1.7700 0.5 1.0 0.0 0.0052080277777777784 0.0052080277777777784 2768
21.3180 -0.1320 66.0000 0.0968 0.0968 0 1.3600 -0.5 1.0 0.0 0.009376694444444443 0.009376694444444443 2777
21.3780 -0.2280 90.8000 0.0898 0.0898 0 1.5000 -0.5 1.0 0.0 0.008070027777777775 0.008070027777777775 2784
21.3230 0.0140 74.5000 0.1115 0.1115 0 1.8100 -0.5 1.0 0.0 0.01243225 0.01243225 2787
21.3950 -0.6070 54.6000 0.1218 0.1218 0 1.5300 -0.5 1.0 0.0 0.014843361111111108 0.014843361111111108 2788
21.5250 0.2500 78.2000 0.0593 0.0593 0 1.7700 0.5 1.0 0.0 0.0035204444444444445 0.0035204444444444445 2793
21.5570 -0.0450 113.9000 0.0688 0.0688 0 1.1200 0.5 1.0 0.0 0.004738027777777778 0.004738027777777778 2797
21.7320 -0.0160 22.2000 0.0817 0.0817 0 2.3400 0.5 1.0 0.0 0.006669444444444444 0.006669444444444444 2809
21.9080 -0.1000 89.3000 0.0468 0.0468 0 1.2000 -0.5 1.0 0.0 0.0021933611111111108 0.0021933611111111108 2822
21.9500 0.1120 75.8000 0.1028 0.1028 0 2.5200 0.5 1.0 0.0 0.010574694444444444 0.010574694444444444 2828
21.9700 0.1470 36.3000 0.0742 0.0742 0 2.3100 0.5 1.0 0.0 0.005500694444444445 0.005500694444444445 2829
21.9790 -0.1890 70.5000 0.0530 0.0530 0 1.8800 0.5 1.0 0.0 0.002809 0.002809 2833
22.0430 0.2740 50.8000 0.2352 0.2352 0 1.5900 -0.5 1.0 0.0 0.05530336111111111 0.05530336111111111 2837
22.1750 0.0040 44.0000 0.0683 0.0683 0 1.8000 -0.5 1.0 0.0 0.004669444444444444 0.004669444444444444 2845
22.3710 0.4350 60.5000 0.0808 0.0808 0 0.9600 -0.5 1.0 0.0 0.006534027777777777 0.006534027777777777 2853
22.3340 0.0710 85.0000 0.0755 0.0755 0 3.5400 -0.5 1.0 0.0 0.00570025 0.00570025 2854
22.3960 0.3640 84.5000 0.0828 0.0828 0 1.0900 -0.5 1.0 0.0 0.006861361111111111 0.006861361111111111 2858
22.3660 0.4470 53.0000 0.0658 0.0658 0 0.7700 -0.5 1.0 0.0 0.004334027777777779 0.004334027777777779 2860
22.4440 -0.1800 40.8000 0.0568 0.0568 0 1.6600 0.5 1.0 0.0 0.003230027777777778 0.003230027777777778 2862
22.4400 -0.1650 29.0000 0.0898 0.0898 0 1.9000 0.5 1.0 0.0 0.008070027777777775 0.008070027777777775 2865
22.5630 -0.2040 77.3000 0.1087 0.1087 0 2.4400 -0.5 1.0 0.0 0.011808444444444443 0.011808444444444443 2879
22.5520 -0.0320 95.9000 0.0287 0.0287 0 1.3900 0.5 1.0 0.0 0.0008217777777777778 0.0008217777777777778 2887
22.5630 0.1790 16.2000 0.0345 0.0345 0 2.0800 0.5 1.0 0.0 0.0011902499999999997 0.0011902499999999997 2890
22.7000 -0.0180 36.4000 0.0462 0.0462 0 1.1300 0.5 1.0 0.0 0.002131361111111111 0.002131361111111111 2906
22.7610 -0.2640 72.4000 0.0477 0.0477 0 1.5300 -0.5 1.0 0.0 0.0022721111111111106 0.0022721111111111106 2907
22.7270 -0.2440 105.6000 0.0565 0.0565 0 2.0800 -0.5 1.0 0.0 0.00319225 0.00319225 2914
22.7190 -0.0830 74.1000 0.0820 0.0820 0 3.3400 0.5 1.0 0.0 0.006724000000000001 0.006724000000000001 2917
22.7870 -0.4930 63.2000 0.0820 0.0820 0 2.0600 0.5 1.0 0.0 0.006724000000000001 0.006724000000000001 2935
22.9530 -0.1650 64.7000 0.0767 0.0767 0 1.4300 -0.5 1.0 0.0 0.005877777777777777 0.005877777777777777 2951
22.9610 0.0080 79.9000 0.0632 0.0632 0 2.0100 -0.5 1.0 0.0 0.003990027777777777 0.003990027777777777 2957
22.9880 -0.4010 75.5000 0.1205 0.1205 0 2.7000 -0.5 1.0 0.0 0.014520250000000002 0.014520250000000002 2971
23.0500 -0.0910 102.7000 0.0847 0.0847 0 2.1900 -0.5 1.0 0.0 0.007168444444444444 0.007168444444444444 2974
23.0940 0.1670 103.6000 0.0602 0.0602 0 1.2700 -0.5 1.0 0.0 0.003620027777777778 0.003620027777777778 2992
23.2270 0.0080 76.9000 0.0512 0.0512 0 2.0700 -0.5 1.0 0.0 0.0026180277777777777 0.0026180277777777777 3016
23.2290 -0.3530 77.0000 0.0728 0.0728 0 2.2200 -0.5 1.0 0.0 0.005304694444444444 0.005304694444444444 3018
23.2690 0.0880 77.5000 0.0323 0.0323 0 1.0500 -0.5 1.0 0.0 0.0010454444444444443 0.0010454444444444443 3026
23.3330 -0.2270 80.4000 0.0822 0.0822 0 2.7300 -0.5 1.0 0.0 0.006751361111111111 0.006751361111111111 3029
23.3730 -0.2810 78.1000 0.0278 0.0278 0 1.9500 0.5 1.0 0.0 0.0007746944444444444 0.0007746944444444444 3053
23.3940 0.1960 75.3000 0.0332 0.0332 0 1.0900 -0.5 1.0 0.0 0.0011000277777777777 0.0011000277777777777 3060
23.3970 0.4540 108.0000 0.0390 0.0390 0 1.3300 -0.5 1.0 0.0 0.001521 0.001521 3061
23.4100 -0.2170 101.4000 0.1035 0.1035 0 4.0800 -0.5 1.0 0.0 0.01071225 0.01071225 3065
23.4740 0.0810 86.0000 0.0718 0.0718 0 1.2900 -0.5 1.0 0.0 0.005160027777777777 0.005160027777777777 3077
23.5660 0.0330 105.5000 0.0652 0.0652 0 1.3500 -0.5 1.0 0.0 0.004246694444444444 0.004246694444444444 3116
23.4660 -0.0540 53.5000 0.1733 0.1733 0 1.6500 -0.5 1.0 0.0 0.030044444444444447 0.030044444444444447 3125
