| x_pos | y_pos | z_pos |   lon |   lat |   vel | comp |    dist | e_dist |   prob | arm |
|     0 |    39 |   215 | 20.01 | -0.87 |  40.7 |    1 |  3.3064 | 0.1799 |    1.0 | ScN |
|     0 |    39 |   233 | 20.01 | -0.87 |  44.6 |    1 |  3.3526 | 0.1732 |    1.0 | ScN |
|     0 |    40 |   215 | 20.01 | -0.86 |  40.7 |    1 |  3.3065 |   0.18 |    1.0 | ScN |
|     0 |    40 |   232 | 20.01 | -0.86 |  44.4 |    1 |  3.3505 | 0.1735 |    1.0 | ScN |
|     0 |    40 |   248 | 20.01 | -0.86 |  47.8 |    1 |  3.3878 | 0.1741 |    1.0 | ScN |
|     0 |    41 |   215 | 20.01 | -0.85 |  40.7 |    1 |  3.3065 | 0.1802 |    1.0 | ScN |
|     0 |    41 |   231 | 20.01 | -0.85 |  44.1 |    1 |  3.3472 | 0.1739 |    1.0 | ScN |
|     0 |    41 |   247 | 20.01 | -0.85 |  47.5 |    1 |  3.3848 | 0.1741 |    1.0 | ScN |
|     0 |    42 |   215 | 20.01 | -0.85 |  40.7 |    1 |  3.3065 | 0.1802 |    1.0 | ScN |
|     0 |    42 |   230 | 20.01 | -0.85 |  43.9 |    1 |  3.3449 |  0.174 |    1.0 | ScN |
|     0 |    42 |   245 | 20.01 | -0.85 |  47.1 |    1 |  3.3806 | 0.1738 |    1.0 | ScN |
|     0 |    43 |   215 | 20.01 | -0.84 |  40.7 |    1 |  3.3066 | 0.1803 |    1.0 | ScN |
|     0 |    43 |   231 | 20.01 | -0.84 |  44.1 |    1 |  3.3473 |  0.174 |    1.0 | ScN |
|     0 |    44 |   216 | 20.01 | -0.84 |  41.0 |    1 |  3.3103 | 0.1794 |    1.0 | ScN |
|     0 |    44 |   228 | 20.01 | -0.84 |  43.5 |    1 |  3.3404 | 0.1746 |    1.0 | ScN |
|     0 |    45 |   217 | 20.01 | -0.83 |  41.2 |    1 |   3.313 |  0.179 |    1.0 | ScN |
|     0 |    45 |   231 | 20.01 | -0.83 |  44.1 |    1 |  3.3474 | 0.1742 |    1.0 | ScN |
|     0 |    46 |   217 | 20.01 | -0.82 |  41.2 |    1 |  3.3131 | 0.1792 |    1.0 | ScN |
|     0 |    46 |   224 | 20.01 | -0.82 |  42.7 |    1 |  3.3311 |  0.176 |    1.0 | ScN |
|     0 |    46 |   237 | 20.01 | -0.82 |  45.4 |    1 |  3.3623 | 0.1738 |    1.0 | ScN |
|     0 |    47 |   218 | 20.01 | -0.82 |  41.4 |    1 |  3.3155 | 0.1787 |    1.0 | ScN |
|     0 |    47 |   238 | 20.01 | -0.82 |  45.6 |    1 |  3.3645 | 0.1738 |    1.0 | ScN |
|     0 |    48 |   216 | 20.01 | -0.81 |  41.0 |    1 |  3.3105 | 0.1799 |    1.0 | ScN |
|     0 |    48 |   219 | 20.01 | -0.81 |  41.6 |    1 |   3.318 | 0.1783 |    1.0 | ScN |
|     0 |    48 |   249 | 20.01 | -0.81 |  48.0 |    1 |  3.3908 | 0.1752 |    1.0 | ScN |
|     0 |    49 |   216 | 20.01 |  -0.8 |  41.0 |    1 |  3.3106 |   0.18 |    1.0 | ScN |
|     0 |    49 |   241 | 20.01 |  -0.8 |  46.3 |    1 |  3.3727 | 0.1742 |    1.0 | ScN |
|     0 |    49 |   332 | 20.01 |  -0.8 |  65.6 |    1 |  3.6949 | 0.4115 | 0.4024 | ScN |
|     0 |    49 |   332 | 20.01 |  -0.8 |  65.6 |    2 |  4.9627 | 0.3069 | 0.5976 | Nor |
|     0 |    50 |   217 | 20.01 |  -0.8 |  41.2 |    1 |  3.3132 | 0.1795 |    1.0 | ScN |
|     0 |    50 |   334 | 20.01 |  -0.8 |  66.0 |    1 |  3.6969 |  0.417 | 0.3771 | ScN |
|     0 |    50 |   334 | 20.01 |  -0.8 |  66.0 |    2 |   4.964 | 0.3023 | 0.6229 | Nor |
|     0 |    51 |   215 | 20.01 | -0.79 |  40.7 |    1 |  3.3069 |  0.181 |    1.0 | ScN |
|     0 |    51 |   225 | 20.01 | -0.79 |  42.9 |    1 |  3.3337 | 0.1762 |    1.0 | ScN |
|     0 |    51 |   243 | 20.01 | -0.79 |  46.7 |    1 |  3.3772 | 0.1745 |    1.0 | ScN |
|     0 |    51 |   335 | 20.01 | -0.79 |  66.2 |    1 |  3.7014 | 0.4213 | 0.3572 | ScN |
|     0 |    51 |   335 | 20.01 | -0.79 |  66.2 |    2 |   4.968 |  0.301 | 0.6428 | Nor |
|     0 |    52 |   230 | 20.01 | -0.79 |  43.9 |    1 |  3.3456 |  0.175 |    1.0 | ScN |
|     0 |    52 |   334 | 20.01 | -0.79 |  66.0 |    1 |  3.7006 | 0.4187 | 0.3695 | ScN |
|     0 |    52 |   334 | 20.01 | -0.79 |  66.0 |    2 |  4.9673 | 0.3031 | 0.6305 | Nor |
|     0 |    53 |   214 | 20.01 | -0.78 |  40.5 |    1 |  3.3045 | 0.1818 |    1.0 | ScN |
|     0 |    53 |   224 | 20.01 | -0.78 |  42.7 |    1 |  3.3314 | 0.1766 |    1.0 | ScN |
|     0 |    53 |   249 | 20.01 | -0.78 |  48.0 |    1 |  3.3913 | 0.1757 |    1.0 | ScN |
|     0 |    53 |   330 | 20.01 | -0.78 |  65.2 |    1 |     3.7 | 0.4096 | 0.4138 | ScN |
|     0 |    53 |   330 | 20.01 | -0.78 |  65.2 |    2 |  4.9687 | 0.3125 | 0.5862 | Nor |
|     0 |    53 |   449 | 20.01 | -0.78 |  90.5 |    1 |  5.4305 | 0.3484 |    1.0 | Nor |
|     0 |    54 |   215 | 20.01 | -0.77 |  40.7 |    1 |   3.307 | 0.1813 |    1.0 | ScN |
|     0 |    54 |   237 | 20.01 | -0.77 |  45.4 |    1 |  3.3629 | 0.1746 |    1.0 | ScN |
|     0 |    54 |   329 | 20.01 | -0.77 |  65.0 |    1 |  3.7024 | 0.4085 |   0.42 | ScN |
|     0 |    54 |   329 | 20.01 | -0.77 |  65.0 |    2 |   4.972 | 0.3153 |   0.58 | Nor |
|     0 |    55 |   215 | 20.01 | -0.77 |  40.7 |    1 |   3.307 | 0.1813 |    1.0 | ScN |
|     0 |    55 |   236 | 20.01 | -0.77 |  45.2 |    1 |  3.3606 | 0.1746 |    1.0 | ScN |
|     0 |    55 |   329 | 20.01 | -0.77 |  65.0 |    1 |  3.7024 | 0.4085 |   0.42 | ScN |
|     0 |    55 |   329 | 20.01 | -0.77 |  65.0 |    2 |   4.972 | 0.3153 |   0.58 | Nor |
|     0 |    56 |   215 | 20.01 | -0.76 |  40.7 |    1 |   3.307 | 0.1814 |    1.0 | ScN |
|     0 |    56 |   235 | 20.01 | -0.76 |  45.0 |    1 |  3.3584 | 0.1748 |    1.0 | ScN |
|     0 |    56 |   329 | 20.01 | -0.76 |  65.0 |    1 |  3.7056 | 0.4103 | 0.4124 | ScN |
|     0 |    56 |   329 | 20.01 | -0.76 |  65.0 |    2 |  4.9754 | 0.3161 | 0.5876 | Nor |
|     0 |    57 |   216 | 20.01 | -0.76 |  41.0 |    1 |  3.3108 | 0.1806 |    1.0 | ScN |
|     0 |    57 |   235 | 20.01 | -0.76 |  45.0 |    1 |  3.3584 | 0.1748 |    1.0 | ScN |
|     0 |    57 |   328 | 20.01 | -0.76 |  64.8 |    1 |   3.704 | 0.4073 | 0.4261 | ScN |
|     0 |    57 |   328 | 20.01 | -0.76 |  64.8 |    2 |  4.9753 | 0.3182 | 0.5739 | Nor |
|     0 |    58 |   216 | 20.01 | -0.75 |  41.0 |    1 |  3.3108 | 0.1807 |    1.0 | ScN |
|     0 |    58 |   235 | 20.01 | -0.75 |  45.0 |    1 |  3.3585 |  0.175 |    1.0 | ScN |
|     0 |    58 |   327 | 20.01 | -0.75 |  64.5 |    1 |  3.7042 | 0.4038 |  0.441 | ScN |
|     0 |    58 |   327 | 20.01 | -0.75 |  64.5 |    2 |  4.9788 | 0.3223 |  0.559 | Nor |
|     0 |    59 |   215 | 20.01 | -0.74 |  40.7 |    1 |  3.3071 | 0.1817 |    1.0 | ScN |
